lv_feeder_unique_id,substation_id
SSEN-190900228502,SSEN-1909002285
SSEN-190900228503,SSEN-1909002285
SSEN-190900228504,SSEN-1909002285
SSEN-190900626001,SSEN-1909006260
SSEN-190900628002,SSEN-1909006280
SSEN-190900628003,SSEN-1909006280
SSEN-190900628004,SSEN-1909006280
SSEN-190900628005,SSEN-1909006280
SSEN-190900630002,SSEN-1909006300
SSEN-190900630003,SSEN-1909006300
SSEN-190900632001,SSEN-1909006320
SSEN-190900632002,SSEN-1909006320
SSEN-190900632003,SSEN-1909006320
SSEN-190900634001,SSEN-1909006340
SSEN-190900635002,SSEN-1909006350
SSEN-190900636001,SSEN-1909006360
SSEN-190900636002,SSEN-1909006360
SSEN-190900636004,SSEN-1909006360
SSEN-190900636005,SSEN-1909006360
SSEN-190900636006,SSEN-1909006360
SSEN-190900636008,SSEN-1909006360
SSEN-190900636009,SSEN-1909006360
SSEN-190900636010,SSEN-1909006360
SSEN-190900636011,SSEN-1909006360
SSEN-190900638001,SSEN-1909006380
SSEN-190900638002,SSEN-1909006380
SSEN-190900638003,SSEN-1909006380
SSEN-190900638004,SSEN-1909006380
SSEN-190900638005,SSEN-1909006380
SSEN-190900638006,SSEN-1909006380
SSEN-250100501201,SSEN-2501005012
SSEN-250100501203,SSEN-2501005012
SSEN-250100603501,SSEN-2501006035
SSEN-250100804201,SSEN-2501008042
SSEN-250100804202,SSEN-2501008042
SSEN-250100804204,SSEN-2501008042
SSEN-250100810201,SSEN-2501008102
SSEN-250100810202,SSEN-2501008102
SSEN-250100810203,SSEN-2501008102
SSEN-250101206001,SSEN-2501012060
SSEN-250101206002,SSEN-2501012060
SSEN-250101206003,SSEN-2501012060
SSEN-250101206004,SSEN-2501012060
SSEN-250101206005,SSEN-2501012060
SSEN-250101502201,SSEN-2501015022
SSEN-250101502202,SSEN-2501015022
SSEN-250101503202,SSEN-2501015032
SSEN-250101503204,SSEN-2501015032
SSEN-250101504202,SSEN-2501015042
SSEN-250101504203,SSEN-2501015042
SSEN-250101505201,SSEN-2501015052
SSEN-250101505202,SSEN-2501015052
SSEN-250101505203,SSEN-2501015052
SSEN-250101605503,SSEN-2501016055
SSEN-250101605504,SSEN-2501016055
SSEN-250101606501,SSEN-2501016065
SSEN-250101606503,SSEN-2501016065
SSEN-250101609501,SSEN-2501016095
SSEN-250101609502,SSEN-2501016095
SSEN-250101609503,SSEN-2501016095
SSEN-250101609505,SSEN-2501016095
SSEN-250101612502,SSEN-2501016125
SSEN-250101612503,SSEN-2501016125
SSEN-250101612504,SSEN-2501016125
SSEN-250101613501,SSEN-2501016135
SSEN-250101613502,SSEN-2501016135
SSEN-250101613503,SSEN-2501016135
SSEN-250101613504,SSEN-2501016135
SSEN-250101614504,SSEN-2501016145
SSEN-250101614505,SSEN-2501016145
SSEN-250101615501,SSEN-2501016155
SSEN-250101615502,SSEN-2501016155
SSEN-250101615503,SSEN-2501016155
SSEN-250101616501,SSEN-2501016165
SSEN-250101616502,SSEN-2501016165
SSEN-250101616504,SSEN-2501016165
SSEN-250101616505,SSEN-2501016165
SSEN-250101616506,SSEN-2501016165
SSEN-250101701503,SSEN-2501017015
SSEN-250101703501,SSEN-2501017035
SSEN-250101703502,SSEN-2501017035
SSEN-250101703504,SSEN-2501017035
SSEN-250101703505,SSEN-2501017035
SSEN-250101707501,SSEN-2501017075
SSEN-250101707503,SSEN-2501017075
SSEN-250101708501,SSEN-2501017085
SSEN-250101709501,SSEN-2501017095
SSEN-250101709502,SSEN-2501017095
SSEN-250101709503,SSEN-2501017095
SSEN-250101709504,SSEN-2501017095
SSEN-250101710502,SSEN-2501017105
SSEN-250101710503,SSEN-2501017105
SSEN-250101710505,SSEN-2501017105
SSEN-250101711501,SSEN-2501017115
SSEN-250101711502,SSEN-2501017115
SSEN-250101711504,SSEN-2501017115
SSEN-250101712503,SSEN-2501017125
SSEN-250101712504,SSEN-2501017125
SSEN-250460102001,SSEN-2504601020
SSEN-250460102003,SSEN-2504601020
SSEN-250460102004,SSEN-2504601020
SSEN-250460104001,SSEN-2504601040
SSEN-250460104002,SSEN-2504601040
SSEN-250460104003,SSEN-2504601040
SSEN-250460116001,SSEN-2504601160
SSEN-250460116002,SSEN-2504601160
SSEN-250460116003,SSEN-2504601160
SSEN-250460118001,SSEN-2504601180
SSEN-250460118003,SSEN-2504601180
SSEN-250460118004,SSEN-2504601180
SSEN-250460118005,SSEN-2504601180
SSEN-250460122001,SSEN-2504601220
SSEN-250460122003,SSEN-2504601220
SSEN-250460123001,SSEN-2504601230
SSEN-250460123003,SSEN-2504601230
SSEN-250460126001,SSEN-2504601260
SSEN-250460126003,SSEN-2504601260
SSEN-250460126004,SSEN-2504601260
SSEN-250460606001,SSEN-2504606060
SSEN-250460606004,SSEN-2504606060
SSEN-250460606005,SSEN-2504606060
SSEN-250460816001,SSEN-2504608160
SSEN-250460816002,SSEN-2504608160
SSEN-250460816003,SSEN-2504608160
SSEN-250460816004,SSEN-2504608160
SSEN-250800604001,SSEN-2508006040
SSEN-250800604003,SSEN-2508006040
SSEN-250800606001,SSEN-2508006060
SSEN-250800606002,SSEN-2508006060
SSEN-250800606003,SSEN-2508006060
SSEN-250802301001,SSEN-2508023010
SSEN-250802301002,SSEN-2508023010
SSEN-250802301003,SSEN-2508023010
SSEN-250802301004,SSEN-2508023010
SSEN-250802302001,SSEN-2508023020
SSEN-250802302002,SSEN-2508023020
SSEN-250802302003,SSEN-2508023020
SSEN-250802303001,SSEN-2508023030
SSEN-250802303002,SSEN-2508023030
SSEN-250802303003,SSEN-2508023030
SSEN-250802303005,SSEN-2508023030
SSEN-250802304001,SSEN-2508023040
SSEN-250802304002,SSEN-2508023040
SSEN-250802304003,SSEN-2508023040
SSEN-250802305001,SSEN-2508023050
SSEN-250802305003,SSEN-2508023050
SSEN-250802306002,SSEN-2508023060
SSEN-250802306003,SSEN-2508023060
SSEN-250802306004,SSEN-2508023060
SSEN-250802307001,SSEN-2508023070
SSEN-250802307002,SSEN-2508023070
SSEN-250802307003,SSEN-2508023070
SSEN-250802307004,SSEN-2508023070
SSEN-250802307005,SSEN-2508023070
SSEN-250802308001,SSEN-2508023080
SSEN-250802308002,SSEN-2508023080
SSEN-250802308003,SSEN-2508023080
SSEN-250802308004,SSEN-2508023080
SSEN-250802308501,SSEN-2508023085
SSEN-250802308502,SSEN-2508023085
SSEN-250802308503,SSEN-2508023085
SSEN-250802308504,SSEN-2508023085
SSEN-251100201001,SSEN-2511002010
SSEN-251100205301,SSEN-2511002053
SSEN-251100205302,SSEN-2511002053
SSEN-251100205501,SSEN-2511002055
SSEN-251100205502,SSEN-2511002055
SSEN-251100205504,SSEN-2511002055
SSEN-251100205505,SSEN-2511002055
SSEN-251100208005,SSEN-2511002080
SSEN-251100208006,SSEN-2511002080
SSEN-251100402001,SSEN-2511004020
SSEN-251100402002,SSEN-2511004020
SSEN-251100402004,SSEN-2511004020
SSEN-251100402005,SSEN-2511004020
SSEN-251100502001,SSEN-2511005020
SSEN-251100502002,SSEN-2511005020
SSEN-251100502004,SSEN-2511005020
SSEN-251100504003,SSEN-2511005040
SSEN-251100512001,SSEN-2511005120
SSEN-251100512003,SSEN-2511005120
SSEN-251100512004,SSEN-2511005120
SSEN-251100512005,SSEN-2511005120
SSEN-251100514001,SSEN-2511005140
SSEN-251100514002,SSEN-2511005140
SSEN-251100520001,SSEN-2511005200
SSEN-251100520002,SSEN-2511005200
SSEN-251100602001,SSEN-2511006020
SSEN-251100602002,SSEN-2511006020
SSEN-251100602004,SSEN-2511006020
SSEN-251100604002,SSEN-2511006040
SSEN-251100604003,SSEN-2511006040
SSEN-251100604004,SSEN-2511006040
SSEN-251100606002,SSEN-2511006060
SSEN-251100606003,SSEN-2511006060
SSEN-251100606005,SSEN-2511006060
SSEN-251100606007,SSEN-2511006060
SSEN-251100608001,SSEN-2511006080
SSEN-251100608002,SSEN-2511006080
SSEN-251100608003,SSEN-2511006080
SSEN-251100608004,SSEN-2511006080
SSEN-251100608005,SSEN-2511006080
SSEN-251100608501,SSEN-2511006085
SSEN-251100608502,SSEN-2511006085
SSEN-251100608503,SSEN-2511006085
SSEN-251100608504,SSEN-2511006085
SSEN-251100608505,SSEN-2511006085
SSEN-251100609001,SSEN-2511006090
SSEN-251100609005,SSEN-2511006090
SSEN-251100612002,SSEN-2511006120
SSEN-251100612004,SSEN-2511006120
SSEN-251100612005,SSEN-2511006120
SSEN-251100614001,SSEN-2511006140
SSEN-251100616005,SSEN-2511006160
SSEN-251100620004,SSEN-2511006200
SSEN-251100621002,SSEN-2511006210
SSEN-251100906002,SSEN-2511009060
SSEN-251100906004,SSEN-2511009060
SSEN-251100908001,SSEN-2511009080
SSEN-251100912001,SSEN-2511009120
SSEN-251100913004,SSEN-2511009130
SSEN-251100918001,SSEN-2511009180
SSEN-251100919001,SSEN-2511009190
SSEN-251100919002,SSEN-2511009190
SSEN-251100920003,SSEN-2511009200
SSEN-251100920004,SSEN-2511009200
SSEN-251101002003,SSEN-2511010020
SSEN-251101002004,SSEN-2511010020
SSEN-251101002005,SSEN-2511010020
SSEN-251101002006,SSEN-2511010020
SSEN-251101002007,SSEN-2511010020
SSEN-251101002009,SSEN-2511010020
SSEN-251101004001,SSEN-2511010040
SSEN-251101004002,SSEN-2511010040
SSEN-251101004003,SSEN-2511010040
SSEN-251101006001,SSEN-2511010060
SSEN-251101006002,SSEN-2511010060
SSEN-251101006003,SSEN-2511010060
SSEN-251101008002,SSEN-2511010080
SSEN-251101008003,SSEN-2511010080
SSEN-251101019001,SSEN-2511010190
SSEN-251101019002,SSEN-2511010190
SSEN-251101019003,SSEN-2511010190
SSEN-251101019005,SSEN-2511010190
SSEN-251101020003,SSEN-2511010200
SSEN-251101020004,SSEN-2511010200
SSEN-251101102002,SSEN-2511011020
SSEN-251101102003,SSEN-2511011020
SSEN-251101104001,SSEN-2511011040
SSEN-251101104002,SSEN-2511011040
SSEN-251101104004,SSEN-2511011040
SSEN-251101106002,SSEN-2511011060
SSEN-251101106003,SSEN-2511011060
SSEN-251101108001,SSEN-2511011080
SSEN-251101108003,SSEN-2511011080
SSEN-251101110001,SSEN-2511011100
SSEN-251101110003,SSEN-2511011100
SSEN-251101110501,SSEN-2511011105
SSEN-251101110503,SSEN-2511011105
SSEN-251101112001,SSEN-2511011120
SSEN-251101112002,SSEN-2511011120
SSEN-251101112003,SSEN-2511011120
SSEN-251101112004,SSEN-2511011120
SSEN-251101114001,SSEN-2511011140
SSEN-251101114002,SSEN-2511011140
SSEN-251101114003,SSEN-2511011140
SSEN-251101114004,SSEN-2511011140
SSEN-251101114005,SSEN-2511011140
SSEN-251101116001,SSEN-2511011160
SSEN-251101116002,SSEN-2511011160
SSEN-251101116003,SSEN-2511011160
SSEN-251101116004,SSEN-2511011160
SSEN-251101202001,SSEN-2511012020
SSEN-251101204001,SSEN-2511012040
SSEN-251101204002,SSEN-2511012040
SSEN-251101204003,SSEN-2511012040
SSEN-251101204004,SSEN-2511012040
SSEN-251101204005,SSEN-2511012040
SSEN-251101206001,SSEN-2511012060
SSEN-251101206002,SSEN-2511012060
SSEN-251101206003,SSEN-2511012060
SSEN-251101206004,SSEN-2511012060
SSEN-251101208002,SSEN-2511012080
SSEN-251101208003,SSEN-2511012080
SSEN-251101208004,SSEN-2511012080
SSEN-251101210002,SSEN-2511012100
SSEN-251101210003,SSEN-2511012100
SSEN-251101210004,SSEN-2511012100
SSEN-251200211502,SSEN-2512002115
SSEN-251200212001,SSEN-2512002120
SSEN-251200212701,SSEN-2512002127
SSEN-251200212702,SSEN-2512002127
SSEN-251200212703,SSEN-2512002127
SSEN-251200212704,SSEN-2512002127
SSEN-251200212705,SSEN-2512002127
SSEN-251200215003,SSEN-2512002150
SSEN-251200220001,SSEN-2512002200
SSEN-251200220002,SSEN-2512002200
SSEN-251200221001,SSEN-2512002210
SSEN-251200221002,SSEN-2512002210
SSEN-251200222002,SSEN-2512002220
SSEN-251200222003,SSEN-2512002220
SSEN-251200223001,SSEN-2512002230
SSEN-251200223003,SSEN-2512002230
SSEN-251200303001,SSEN-2512003030
SSEN-251200303002,SSEN-2512003030
SSEN-251200303003,SSEN-2512003030
SSEN-251200305002,SSEN-2512003050
SSEN-251200305005,SSEN-2512003050
SSEN-251200307001,SSEN-2512003070
SSEN-251200307002,SSEN-2512003070
SSEN-251200307003,SSEN-2512003070
SSEN-251200308001,SSEN-2512003080
SSEN-251200308006,SSEN-2512003080
SSEN-251200309001,SSEN-2512003090
SSEN-251200309003,SSEN-2512003090
SSEN-251200309004,SSEN-2512003090
SSEN-251200310001,SSEN-2512003100
SSEN-251200310002,SSEN-2512003100
SSEN-251200312001,SSEN-2512003120
SSEN-251200312002,SSEN-2512003120
SSEN-251200312003,SSEN-2512003120
SSEN-251200313001,SSEN-2512003130
SSEN-251200313002,SSEN-2512003130
SSEN-251200313003,SSEN-2512003130
SSEN-251200402001,SSEN-2512004020
SSEN-251200402002,SSEN-2512004020
SSEN-251200402004,SSEN-2512004020
SSEN-251200403002,SSEN-2512004030
SSEN-251200403003,SSEN-2512004030
SSEN-251200404001,SSEN-2512004040
SSEN-251200404002,SSEN-2512004040
SSEN-251200404003,SSEN-2512004040
SSEN-251200405002,SSEN-2512004050
SSEN-251200405005,SSEN-2512004050
SSEN-251200406004,SSEN-2512004060
SSEN-251200407005,SSEN-2512004070
SSEN-251200422003,SSEN-2512004220
SSEN-251200422005,SSEN-2512004220
SSEN-251200703502,SSEN-2512007035
SSEN-251200703503,SSEN-2512007035
SSEN-251200703504,SSEN-2512007035
SSEN-251200704501,SSEN-2512007045
SSEN-251200708501,SSEN-2512007085
SSEN-251200708503,SSEN-2512007085
SSEN-251200708506,SSEN-2512007085
SSEN-251200709502,SSEN-2512007095
SSEN-251200711503,SSEN-2512007115
SSEN-251200711504,SSEN-2512007115
SSEN-251200712501,SSEN-2512007125
SSEN-251200712505,SSEN-2512007125
SSEN-251200801003,SSEN-2512008010
SSEN-251200801004,SSEN-2512008010
SSEN-251200804002,SSEN-2512008040
SSEN-251200804003,SSEN-2512008040
SSEN-251200804004,SSEN-2512008040
SSEN-251200804005,SSEN-2512008040
SSEN-251200806001,SSEN-2512008060
SSEN-251200806002,SSEN-2512008060
SSEN-251200807001,SSEN-2512008070
SSEN-251200807002,SSEN-2512008070
SSEN-251200807003,SSEN-2512008070
SSEN-251200807004,SSEN-2512008070
SSEN-251200807005,SSEN-2512008070
SSEN-251200808002,SSEN-2512008080
SSEN-251200808003,SSEN-2512008080
SSEN-251200808004,SSEN-2512008080
SSEN-251200809001,SSEN-2512008090
SSEN-251200809002,SSEN-2512008090
SSEN-251200809003,SSEN-2512008090
SSEN-251200809004,SSEN-2512008090
SSEN-251200810001,SSEN-2512008100
SSEN-251200810002,SSEN-2512008100
SSEN-251200810003,SSEN-2512008100
SSEN-251200810004,SSEN-2512008100
SSEN-251200810006,SSEN-2512008100
SSEN-251200811001,SSEN-2512008110
SSEN-251200811003,SSEN-2512008110
SSEN-251200811004,SSEN-2512008110
SSEN-251200813002,SSEN-2512008130
SSEN-251200813003,SSEN-2512008130
SSEN-251200813004,SSEN-2512008130
SSEN-251200813005,SSEN-2512008130
SSEN-251201201001,SSEN-2512012010
SSEN-251201201005,SSEN-2512012010
SSEN-251201202003,SSEN-2512012020
SSEN-251201202004,SSEN-2512012020
SSEN-251201204003,SSEN-2512012040
SSEN-251201204004,SSEN-2512012040
SSEN-251201204006,SSEN-2512012040
SSEN-251201206501,SSEN-2512012065
SSEN-251201208005,SSEN-2512012080
SSEN-251201208006,SSEN-2512012080
