Feeder,Model,Metric,Value
SSEN-282202403001,ARIMA,MSE,12288635.395279072
SSEN-282201106001,ARIMA,MSE,11048847.368130144
SSEN-282201106002,ARIMA,MSE,23795116.282888044
SSEN-281800504002,ARIMA,MSE,36725353.17658041
SSEN-280301604003,ARIMA,MSE,19090368.261194862
SSEN-280961202601,ARIMA,MSE,43241154.81771369
SSEN-280700102001,ARIMA,MSE,34122934.91376742
SSEN-252901206003,ARIMA,MSE,4.2093039295251763e+18
SSEN-282200516001,ARIMA,MSE,15289249.579986233
SSEN-252100814003,ARIMA,MSE,20442327.540932458
SSEN-281800302004,ARIMA,MSE,11726474.585548775
SSEN-280800716004,ARIMA,MSE,18435238.86406615
SSEN-250460816001,ARIMA,MSE,16214446.757915305
SSEN-280800604001,ARIMA,MSE,12737159.296622146
SSEN-251200212704,ARIMA,MSE,24464999.199392512
SSEN-282200409701,ARIMA,MSE,43096075.97295354
SSEN-282200920002,ARIMA,MSE,11384540.849503629
SSEN-281600402001,ARIMA,MSE,22440223.54479969
SSEN-280800127504,ARIMA,MSE,19717766.578537654
SSEN-251100913003,ARIMA,MSE,147346795.5374964
SSEN-282201018002,ARIMA,MSE,44675623.93402847
SSEN-280301608002,ARIMA,MSE,14616493.75397967
SSEN-281800318003,ARIMA,MSE,11517855.800068248
SSEN-282202618004,ARIMA,MSE,12812350.892175179
SSEN-280500604001,ARIMA,MSE,29903858.10452005
SSEN-250101605504,ARIMA,MSE,15761843.16636024
SSEN-280460408005,ARIMA,MSE,12471618.01016211
SSEN-281200216001,ARIMA,MSE,12003074.750402182
SSEN-281800708002,ARIMA,MSE,19941148.24573793
SSEN-252900230001,ARIMA,MSE,11737618.344546607
SSEN-252900230005,ARIMA,MSE,15109573.583199268
SSEN-282200825101,ARIMA,MSE,32852508.28926964
SSEN-281600602005,ARIMA,MSE,13042656717763.809
SSEN-190900632003,ARIMA,MSE,15094605.824553406
SSEN-280700508002,ARIMA,MSE,162632138.6162774
SSEN-280960203001,ARIMA,MSE,11336400.606655553
SSEN-280302208002,ARIMA,MSE,20776003.340878498
SSEN-281800724002,ARIMA,MSE,16141627.000922645
SSEN-281800909001,ARIMA,MSE,15074149.103786018
SSEN-251201301002,ARIMA,MSE,3846928894914.1494
SSEN-280960405305,ARIMA,MSE,11344044.64658617
SSEN-190900628004,ARIMA,MSE,16855727.757370424
SSEN-251200422005,ARIMA,MSE,12318785.89101695
SSEN-250100501201,ARIMA,MSE,35758305.713641316
SSEN-280301812001,ARIMA,MSE,58097238.7179367
SSEN-280800202002,ARIMA,MSE,20453173.945358187
SSEN-282202615003,ARIMA,MSE,77527584.79460539
SSEN-282200824601,ARIMA,MSE,91864740.62411524
SSEN-280460106002,ARIMA,MSE,14164589.7970179
SSEN-251201419002,ARIMA,MSE,33795123.15175488
SSEN-281101608002,ARIMA,MSE,14886742.564794688
SSEN-281101608007,ARIMA,MSE,13451009.18924333
SSEN-281800102001,ARIMA,MSE,50789198.83733083
SSEN-281800236001,ARIMA,MSE,12277532.241097834
SSEN-251201202004,ARIMA,MSE,20667652.530080434
SSEN-280300208002,ARIMA,MSE,12255369.172271632
SSEN-252801206001,ARIMA,MSE,16029645.589197204
SSEN-252901534003,ARIMA,MSE,17423873.741307545
SSEN-252900237001,ARIMA,MSE,63527717.51001848
SSEN-282202608001,ARIMA,MSE,89399189.7645227
SSEN-281600613002,ARIMA,MSE,19205150.756772764
SSEN-280301244001,ARIMA,MSE,11508270.71260371
SSEN-281800406001,ARIMA,MSE,14790208.432762427
SSEN-282202805002,ARIMA,MSE,11971867.526137892
SSEN-281800410001,ARIMA,MSE,14384464.7944997
SSEN-251100919005,ARIMA,MSE,135816943.11694828
SSEN-251200809002,ARIMA,MSE,17060969.992268328
SSEN-280301602003,ARIMA,MSE,13754770.578116873
SSEN-281801104003,ARIMA,MSE,19749693.13258176
SSEN-252901703003,ARIMA,MSE,17591434.221995313
SSEN-280300603002,ARIMA,MSE,148880288.5017805
SSEN-282202612004,ARIMA,MSE,16289971.810581407
SSEN-280301004002,ARIMA,MSE,18146752.28976699
SSEN-280700610007,ARIMA,MSE,19629821.022699185
SSEN-280300838003,ARIMA,MSE,119326459.51087773
SSEN-252600510002,ARIMA,MSE,12628818.337381233
SSEN-282200546001,ARIMA,MSE,103144562.17627782
SSEN-280800711005,ARIMA,MSE,11370661.622168407
SSEN-280300602004,ARIMA,MSE,47489167.399022855
SSEN-280960710203,ARIMA,MSE,23186180.00770166
SSEN-280960710201,ARIMA,MSE,11784373.419391109
SSEN-281200318001,ARIMA,MSE,17446074.483112235
SSEN-281800714002,ARIMA,MSE,14398444.044817675
SSEN-250460606005,ARIMA,MSE,62046179.211351894
SSEN-280301212005,ARIMA,MSE,14544744.751135858
SSEN-252900918001,ARIMA,MSE,24211790.854881525
SSEN-281201006001,ARIMA,MSE,161410012.70842442
SSEN-250101710505,ARIMA,MSE,11777955.923535036
SSEN-282000446004,ARIMA,MSE,26727128.23879453
SSEN-252801207001,ARIMA,MSE,16288299.12325884
SSEN-280500510004,ARIMA,MSE,13046648789564.326
SSEN-251200804003,ARIMA,MSE,11842018.379337827
SSEN-251100612002,ARIMA,MSE,13120824.987648765
SSEN-281201005001,ARIMA,MSE,27819110.10408462
SSEN-251200305005,ARIMA,MSE,46218795.705037445
SSEN-251200305002,ARIMA,MSE,16527043.065556174
SSEN-281200252003,ARIMA,MSE,19586368.89040567
SSEN-281101504001,ARIMA,MSE,11572323.87291683
SSEN-252801204001,ARIMA,MSE,22481886.309254646
