secondary_substation_unique_id,latitude,longitude
SSEN-1909002285,51.481414,-0.490267
SSEN-1909002285,51.481414,-0.490267
SSEN-1909002285,51.481414,-0.490267
SSEN-1909006260,51.456858,-0.488371
SSEN-1909006280,51.457003,-0.482191
SSEN-1909006280,51.457003,-0.482191
SSEN-1909006280,51.457003,-0.482191
SSEN-1909006280,51.457003,-0.482191
SSEN-1909006300,51.45844,-0.480675
SSEN-1909006300,51.45844,-0.480675
SSEN-1909006320,51.460156,-0.47843
SSEN-1909006320,51.460156,-0.47843
SSEN-1909006320,51.460156,-0.47843
SSEN-1909006340,51.458047,-0.477406
SSEN-1909006350,51.457051,-0.475776
SSEN-1909006360,51.45789,-0.476346
SSEN-1909006360,51.45789,-0.476346
SSEN-1909006360,51.45789,-0.476346
SSEN-1909006360,51.45789,-0.476346
SSEN-1909006360,51.45789,-0.476346
SSEN-1909006360,51.45789,-0.476346
SSEN-1909006360,51.45789,-0.476346
SSEN-1909006360,51.45789,-0.476346
SSEN-1909006360,51.45789,-0.476346
SSEN-1909006380,51.456565,-0.472691
SSEN-1909006380,51.456565,-0.472691
SSEN-1909006380,51.456565,-0.472691
SSEN-1909006380,51.456565,-0.472691
SSEN-1909006380,51.456565,-0.472691
SSEN-1909006380,51.456565,-0.472691
SSEN-2501005012,51.499505,-0.26703
SSEN-2501005012,51.499505,-0.26703
SSEN-2501006035,51.499068,-0.27402
SSEN-2501008042,51.498931,-0.251419
SSEN-2501008042,51.498931,-0.251419
SSEN-2501008042,51.498931,-0.251419
SSEN-2501008102,51.493164,-0.250027
SSEN-2501008102,51.493164,-0.250027
SSEN-2501008102,51.493164,-0.250027
SSEN-2501012060,51.499292,-0.26237
SSEN-2501012060,51.499292,-0.26237
SSEN-2501012060,51.499292,-0.26237
SSEN-2501012060,51.499292,-0.26237
SSEN-2501012060,51.499292,-0.26237
SSEN-2501015022,51.49932,-0.258176
SSEN-2501015022,51.49932,-0.258176
SSEN-2501015032,51.499549,-0.256093
SSEN-2501015032,51.499549,-0.256093
SSEN-2501015042,51.497723,-0.255428
SSEN-2501015042,51.497723,-0.255428
SSEN-2501015052,51.497003,-0.256622
