Feeder,Model,MSE,RMSE,MAE,MAPE,R2
SSEN-280300516001,Naive,9977009.090604028,3158.64038640109,2678.412751677852,66.89746220851903,-0.5147880710889208
SSEN-280300516002,Naive,21946648.416107383,4684.7250096571715,4129.932885906041,119.53400344296101,-2.7550081853400283
SSEN-280300516001,Mean (1 day),6626000.557571309,2574.1018933933656,2195.1560402684563,47.37840851877137,-0.006011572455117298
SSEN-280300516002,Mean (1 day),5869060.316988838,2422.614355812505,2039.7578299776283,48.751956844510445,-0.004179276612128469
SSEN-280300516001,Persistence,3905146.234899329,1976.1442849395712,1394.2281879194632,21.432684143291088,0.40708995263377246
SSEN-280300516002,Persistence,2469912.234899329,1571.5954425039954,1179.523489932886,20.7604005182897,0.5774051470970134
SSEN-280300516003,Naive,5937843.808724832,2436.769133242793,1953.6946308724832,50.6632433773354,-0.08218464330668218
SSEN-280300516003,Mean (1 day),5487188.5574198365,2342.4748787169174,1946.7326621923935,58.45112328918598,-5.176677813745201e-05
SSEN-280300516003,Persistence,6243716.265100671,2498.7429369786464,1936.6543624161075,52.536133760448266,-0.13793054800933735
SSEN-280300516004,Naive,8591407.973154359,2931.110365229252,2525.2147651006712,59.94967629216483,-0.7438094358974432
SSEN-280300516004,Mean (1 day),6097431.86501736,2469.2978485831472,1883.9861577181207,30.761626097410467,-0.23760380768592126
SSEN-280300516004,Persistence,4959032.922818792,2226.888619311436,1659.0704697986578,27.068342430274228,-0.006541469193261262
SSEN-280300516003,ARIMA,2471008.123408967,1571.9440586130816,1236.2689878031629,33.6130835968546,0.5496535222583575
SSEN-280300516004,ARIMA,3115384.92206436,1765.0453031195432,1310.5729406202934,22.25909390372166,0.36766620319697796
SSEN-280300516002,ARIMA,1578150.686614587,1256.2446762532318,1005.4737215604764,20.39633812655543,0.7299829735464987
SSEN-280300516001,ARIMA,1702060.3840743194,1304.6303630049085,996.9968037519631,16.950393661712607,0.741579791833916
SSEN-280300516003,Boosting,10354823.71831765,3217.891191186807,2388.15242166759,47.64128898503443,-0.8871886114022995
SSEN-280300516003,Prophet,2578397.0989259323,1605.7388015882073,1261.2922663284428,34.21173653033887,0.5300816534270933
SSEN-280300516004,Boosting,4272372.020433346,2066.9717028622686,1581.7578989366561,31.912184823482814,0.13283100206909038
SSEN-280300516002,Boosting,2538142.463210275,1593.1548773456632,1176.4389523978098,21.197266803250933,0.565731152009582
SSEN-280300516001,Boosting,2735415.8675007606,1653.909268219016,1253.3484150150596,20.533514733229588,0.5846876265293004
SSEN-280300516004,Prophet,4377041.659694903,2092.1380594250713,1690.2595234573262,30.10967656544738,0.11158606699365015
SSEN-280300516002,Prophet,1637340.1859759297,1279.5859431769052,995.8494262359484,19.538435376867415,0.719855821082303
SSEN-280300516001,Prophet,2318496.7584501025,1522.6610779980233,1215.4012088806237,23.93568501372917,0.6479875681514567
SSEN-281800904001,Naive,979774.4832214761,989.8355839337542,884.0469798657718,140.87489425312165,-1.8263223490370657
SSEN-281800904002,Naive,35651774.26845638,5970.9106732940145,5065.026845637584,79.72839991930908,-1.9320638794457108
SSEN-281800904001,Mean (1 day),365383.1157863768,604.4692844027535,500.79963646532445,72.30639046697583,-0.05400832925590393
SSEN-281800904002,Mean (1 day),13696592.47181441,3700.8907673443173,3128.013422818792,37.5846560668461,-0.12643156987636406
SSEN-281800904001,Persistence,512045.3657718121,715.5734523945198,554.6610738255033,61.892354625344936,-0.4770799666504415
SSEN-281800904002,Persistence,8023282.402684564,2832.53992075744,2249.5704697986575,23.94652437546708,0.34015131055292736
SSEN-281800904001,ARIMA,275547.85115252645,524.9265197649347,435.67405998004506,59.270111124098754,0.20513642345441552
SSEN-281800904002,ARIMA,4665209.842315211,2159.909683832917,1742.1333564874649,22.136704118441326,0.6163250343254432
SSEN-281800904001,Boosting,418532.04229964403,646.940524545838,491.0247825675786,50.7487854158087,-0.20732524187631518
SSEN-281800904002,Boosting,6571076.016413822,2563.4110119943352,1973.958726343062,21.94791720362077,0.459583287728104
SSEN-281800904001,Prophet,253846.20099674654,503.8315204478046,411.99211279469813,54.4643001524208,0.2677384404457067
SSEN-281800904002,Prophet,4489495.628022628,2118.842992772855,1697.0173533470338,19.753321850710453,0.6307760767042316
SSEN-280800106001,Naive,28208117.28859059,5311.131450886015,4530.885906040267,64.04448351470332,-1.8013282680466114
SSEN-280800106002,Naive,5317241.369127517,2305.9144323082583,1896.8053691275168,52.59235288098926,-0.5043690651871728
SSEN-280800106001,Mean (1 day),15274707.552910613,3908.287035634744,3168.8545861297544,45.5241466638446,-0.5169204529442575
SSEN-280800106004,Naive,2561161.5604026844,1600.3629464601722,1394.4731543624162,79.27880241735465,-1.5782287656543104
SSEN-280800106002,Mean (1 day),5393227.444645438,2322.3323286397745,1832.0626398210293,33.75445313778795,-0.5258672619885896
SSEN-280800106001,Persistence,13264645.885906037,3642.0661561682314,2972.3825503355706,35.20610749137785,-0.3173026439749813
SSEN-280800106004,Mean (1 day),997750.8892617449,998.874811606412,818.4395973154362,40.53200716844282,-0.004399754948431811
SSEN-280800106002,Persistence,4216483.8523489935,2053.4078631263187,1648.7986577181207,30.028057222228753,-0.1929396149221423
SSEN-280800106004,Persistence,1246025.5033557047,1116.2551246716428,852.3624161073825,36.879708219889636,-0.2543288346813508
SSEN-280800106002,ARIMA,5317396.523761685,2305.9480748190504,1896.8365152469014,52.59328364648654,-0.5044129619779634
SSEN-280800106002,Boosting,1.497505549685919e+17,386976168.4762925,329934640.2095512,6785269.304412001,-42367853318.084175
SSEN-280800106002,Prophet,1739459141352127.0,41706823.67853163,36446006.79746732,763734.7227953296,-492132731.134475
SSEN-280800106001,ARIMA,6341261.104805225,2518.1860743013463,2156.3088457696836,28.31681341856209,0.37025382423730946
SSEN-280800106004,ARIMA,872278.9150613778,933.9587330612513,778.5397140737198,40.33329959594417,0.1219083460977044
SSEN-280800106001,Boosting,9619020.751589872,3101.454618657167,2697.6576222941553,31.421692079759865,0.04474182141696481
SSEN-280800106001,Prophet,13729631.273862004,3705.351707174638,3300.8296050975036,40.74819793874017,-0.3634800154806128
SSEN-280800106004,Boosting,1433767.345165819,1197.400244348488,998.1999558566725,51.25586658355359,-0.443321760608153
SSEN-280800106004,Prophet,1232197.331649904,1110.0438422197133,940.4408637116333,48.559944425017974,-0.24040851406608388
SSEN-280301612001,Naive,41748502.60067114,6461.308118382155,6056.392617449665,128.41218904918802,-7.235882557770575
SSEN-280301612001,Mean (1 day),7747702.459510163,2783.4695003736188,2361.8682885906046,53.425463963873334,-0.528418112606754
SSEN-280301612001,Persistence,14316382.38590604,3783.6995633778906,2874.5805369127515,51.51518837997639,-1.8242460600386177
