dataset_id,dno_alias,aggregated_device_count_active,total_consumption_active_import,data_collection_log_timestamp,geometry,secondary_substation_unique_id,lv_feeder_unique_id
282200520001,SSEN,15.0,2766.0,2024-12-01 00:30:00+00:00,"{'x': -0.363212, 'y': 51.45935}",SSEN-2822005200,SSEN-282200520001
282200520002,SSEN,24.0,3236.0,2024-12-01 00:30:00+00:00,"{'x': -0.363212, 'y': 51.45935}",SSEN-2822005200,SSEN-282200520002
282200520003,SSEN,31.0,8508.0,2024-12-01 00:30:00+00:00,"{'x': -0.363212, 'y': 51.45935}",SSEN-2822005200,SSEN-282200520003
282200520001,SSEN,15.0,3439.0,2024-12-01 01:00:00+00:00,"{'x': -0.363212, 'y': 51.45935}",SSEN-2822005200,SSEN-282200520001
282200520002,SSEN,24.0,3120.0,2024-12-01 01:00:00+00:00,"{'x': -0.363212, 'y': 51.45935}",SSEN-2822005200,SSEN-282200520002
282200520003,SSEN,31.0,5789.0,2024-12-01 01:00:00+00:00,"{'x': -0.363212, 'y': 51.45935}",SSEN-2822005200,SSEN-282200520003
282200520001,SSEN,15.0,2747.0,2024-12-01 01:30:00+00:00,"{'x': -0.363212, 'y': 51.45935}",SSEN-2822005200,SSEN-282200520001
282200520002,SSEN,24.0,2754.0,2024-12-01 01:30:00+00:00,"{'x': -0.363212, 'y': 51.45935}",SSEN-2822005200,SSEN-282200520002
282200520003,SSEN,31.0,5134.0,2024-12-01 01:30:00+00:00,"{'x': -0.363212, 'y': 51.45935}",SSEN-2822005200,SSEN-282200520003
282200520001,SSEN,15.0,2645.0,2024-12-01 02:00:00+00:00,"{'x': -0.363212, 'y': 51.45935}",SSEN-2822005200,SSEN-282200520001
282200520002,SSEN,24.0,2848.0,2024-12-01 02:00:00+00:00,"{'x': -0.363212, 'y': 51.45935}",SSEN-2822005200,SSEN-282200520002
282200520003,SSEN,31.0,4622.0,2024-12-01 02:00:00+00:00,"{'x': -0.363212, 'y': 51.45935}",SSEN-2822005200,SSEN-282200520003
282200520001,SSEN,15.0,2897.0,2024-12-01 02:30:00+00:00,"{'x': -0.363212, 'y': 51.45935}",SSEN-2822005200,SSEN-282200520001
282200520002,SSEN,24.0,2629.0,2024-12-01 02:30:00+00:00,"{'x': -0.363212, 'y': 51.45935}",SSEN-2822005200,SSEN-282200520002
282200520003,SSEN,31.0,5137.0,2024-12-01 02:30:00+00:00,"{'x': -0.363212, 'y': 51.45935}",SSEN-2822005200,SSEN-282200520003
282200520001,SSEN,15.0,2369.0,2024-12-01 03:00:00+00:00,"{'x': -0.363212, 'y': 51.45935}",SSEN-2822005200,SSEN-282200520001
282200520002,SSEN,24.0,3001.0,2024-12-01 03:00:00+00:00,"{'x': -0.363212, 'y': 51.45935}",SSEN-2822005200,SSEN-282200520002
282200520003,SSEN,31.0,4382.0,2024-12-01 03:00:00+00:00,"{'x': -0.363212, 'y': 51.45935}",SSEN-2822005200,SSEN-282200520003
282200520001,SSEN,15.0,2102.0,2024-12-01 03:30:00+00:00,"{'x': -0.363212, 'y': 51.45935}",SSEN-2822005200,SSEN-282200520001
282200520002,SSEN,24.0,2011.0,2024-12-01 03:30:00+00:00,"{'x': -0.363212, 'y': 51.45935}",SSEN-2822005200,SSEN-282200520002
282200520003,SSEN,31.0,4431.0,2024-12-01 03:30:00+00:00,"{'x': -0.363212, 'y': 51.45935}",SSEN-2822005200,SSEN-282200520003
282200520001,SSEN,15.0,2132.0,2024-12-01 04:00:00+00:00,"{'x': -0.363212, 'y': 51.45935}",SSEN-2822005200,SSEN-282200520001
282200520002,SSEN,24.0,2028.0,2024-12-01 04:00:00+00:00,"{'x': -0.363212, 'y': 51.45935}",SSEN-2822005200,SSEN-282200520002
282200520003,SSEN,31.0,3993.0,2024-12-01 04:00:00+00:00,"{'x': -0.363212, 'y': 51.45935}",SSEN-2822005200,SSEN-282200520003
282200520001,SSEN,15.0,2345.0,2024-12-01 04:30:00+00:00,"{'x': -0.363212, 'y': 51.45935}",SSEN-2822005200,SSEN-282200520001
282200520002,SSEN,24.0,1898.0,2024-12-01 04:30:00+00:00,"{'x': -0.363212, 'y': 51.45935}",SSEN-2822005200,SSEN-282200520002
282200520003,SSEN,31.0,4413.0,2024-12-01 04:30:00+00:00,"{'x': -0.363212, 'y': 51.45935}",SSEN-2822005200,SSEN-282200520003
